Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000,1.710629,6.3739862,999.0,-44.992266573011875,-44.992266573011875,1.0
4000,1.8243463,5.9379983,103.5,-1.9493203997611999,-1.9493203997611999,1.0
5000,1.8190721,6.1046696,146.75,-3.7471010237932205,-3.7471010237932205,1.0
6000,1.8346745,6.305116,327.0,-12.946614394585291,-12.946614394585291,1.0
7000,1.8233671,6.7129097,460.0,-13.179724504550299,-13.179724504550299,1.0
8000,1.8321216,6.696988,None,None,None,1.0
9000,1.8192211,6.3667207,794.0,-21.521052077412605,-21.521052077412605,1.0
10000,1.8050067,6.6429567,999.0,0.11279074847698212,0.11279074847698212,1.0
11000,1.8360091,6.817485,562.0,-8.964387506246567,-8.964387506246567,1.0
12000,1.8288264,6.5135994,999.0,-28.606501549482346,-28.606501549482346,1.0
13000,1.8654273,5.8804855,697.0,-16.682402409613132,-16.682402409613132,1.0
14000,1.857669,6.34212,702.5,-24.002113990485668,-24.002113990485668,1.0
15000,1.85535,6.0154133,507.5,-16.615236669778824,-16.615236669778824,1.0
16000,1.857056,6.198114,None,None,None,1.0
17000,1.8575547,6.25764,744.0,-7.304574016481638,-7.304574016481638,1.0
18000,1.8922335,5.706667,437.6666666666667,-1.4696480830510457,-1.4696480830510457,1.0
19000,1.8547341,6.234514,463.0,-15.70742791891098,-15.70742791891098,1.0
20000,1.8601786,6.0625243,572.5,-12.668058678507805,-12.668058678507805,1.0
21000,1.8982745,6.022088,575.3333333333334,-20.7037436713775,-20.7037436713775,1.0
22000,1.8976969,5.87154,284.0,-2.833061620593071,-2.833061620593071,1.0
23000,1.9693819,5.567434,303.6,-1.5614912770688534,-1.5614912770688534,1.0
24000,1.9749727,5.394771,269.5,-3.9377695123354592,-3.9377695123354592,1.0
25000,1.9231219,5.568097,517.6666666666666,-4.446425184607506,-4.446425184607506,1.0
26000,1.9191881,5.3497424,None,-7.5758359134197235,-7.5758359134197235,1.0
27000,1.9037364,5.6191597,727.0,-9.360137164592743,-9.360137164592743,1.0
28000,1.9555695,5.608252,442.75,-6.3900066539645195,-6.3900066539645195,1.0
29000,1.9493777,5.2082434,126.5,-3.1565679162740707,-3.1565679162740707,1.0
30000,1.9573182,5.4496007,178.875,-1.2304780334234238,-1.2304780334234238,1.0
31000,1.9134339,5.582003,170.5,-5.435211628675461,-5.435211628675461,1.0
32000,1.9515964,5.4411354,235.66666666666666,1.3572865923245747,1.3572865923245747,1.0
33000,1.9744649,5.3126326,615.6666666666666,4.127359315752983,4.127359315752983,1.0
