Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
1000,2.1959085,32.86666666666667,-0.10299515,-0.31158277,0.14210594,-0.4364368072871504,-0.4364368072871504,0.0,0.0,1.0
2000,2.1963315,44.27272727272727,-0.17476107,-0.32521307,0.116794996,0.2677815177223899,0.2677815177223899,0.0,0.0,1.0
3000,2.1963649,43.285714285714285,-0.16821937,-0.34326345,0.17986937,1.206721219149503,1.206721219149503,0.0,0.0,1.0
4000,2.196398,40.69230769230769,-0.11931506,-0.24255511,0.19128259,0.5395071959495544,0.5395071959495544,0.0,0.0,1.0
5000,2.1964018,38.96,-0.2033374,-0.34739345,0.15597421,0.5679156303405761,0.5679156303405761,0.0,0.0,1.0
6000,2.1964085,36.64,-0.06333108,-0.32724538,0.19207674,-0.2978315445093008,-0.2978315445093008,0.0,0.0,1.0
7000,2.1962996,37.82142857142857,-0.14670205,-0.43135828,0.10776243,0.2542422524204961,0.2542422524204961,0.0,0.0,1.0
8000,2.1964939,49.473684210526315,-0.086838454,-0.27671584,0.165068,1.5350575980387235,1.5350575980387235,0.0,0.0,1.0
9000,2.196447,38.6,-0.11016711,-0.28029004,0.195327,0.19194664478302,0.19194664478302,0.0,0.0,1.0
10000,2.1967168,40.30769230769231,-0.045377005,-0.2659342,0.16382767,0.12333248342786517,0.12333248342786517,0.0,0.0,1.0
11000,2.193495,94.06666666666666,-0.1806463,-0.29943204,0.0650593,1.2160760104656219,1.2160760104656219,24.53909025192261,1.6615507105986278,1.0
12000,2.19062,64.625,-0.27582055,-0.26598108,0.21056674,1.517995642622312,1.517995642622312,41.345450973510744,1.9433593427141507,1.0
13000,2.1922014,39.90909090909091,-0.098164424,-0.21932304,0.109572336,1.5073520920493386,1.5073520920493386,24.601463090289723,1.5662105239250443,1.0
14000,2.1915371,69.21428571428571,-0.13333869,-0.22192642,0.13782653,2.8494064807891846,2.8494064807891846,40.002640597025554,2.4744105622172357,1.0
15000,2.1908934,68.6875,-0.11240907,-0.24625072,0.11062248,2.4859544396400453,2.4859544396400453,35.73208217620849,2.258910909295082,1.0
16000,2.1910484,40.16,-0.11096612,-0.26332846,0.11960361,1.1204255771636964,1.1204255771636964,26.676214179992677,1.5701742601394653,1.0
17000,2.1915627,47.35,-0.046406295,-0.17636275,0.13199304,1.3938160628080367,1.3938160628080367,27.063393580913544,1.6999183628708123,1.0
18000,2.1911569,64.0,-0.073337056,-0.13306496,0.126788,2.5691493207758125,2.5691493207758125,36.24756908416748,2.188176155090332,1.0
19000,2.1909504,105.16666666666667,-0.1975643,-0.14871627,0.06188281,0.812102422118187,0.812102422118187,53.13639563322067,5.311851098202169,1.0
20000,2.1914165,90.18181818181819,-0.17994447,-0.34372073,0.12623292,7.485891323197972,7.485891323197972,52.87128233909607,2.851502490991896,1.0
21000,2.1855924,47.04761904761905,0.023777898,0.0790819,0.1875962,1.1294179260730743,1.1294179260730743,21.309187094370525,1.3574507431614966,1.0
22000,2.1750503,66.44444444444444,0.09038957,0.46129847,0.32332247,3.487385438548194,3.487385438548194,18.9840697977278,1.1901796766453319,1.0
23000,2.1706092,146.5,0.04565581,0.60175246,0.33253708,10.547948411532811,10.547948411532811,39.78523131779262,2.4449112904923305,1.0
