Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.1951904,41.041666666666664,-0.4559606,0.16083475040352863,0.16083475040352863,1.0
2000,2.1967027,39.68,-0.54453486,0.08579946756362915,0.08579946756362915,1.0
3000,2.196703,37.0,-0.67143774,0.00606927752494812,0.00606927752494812,1.0
4000,2.1967778,56.8,-0.5698649,1.797970611602068,1.797970611602068,1.0
5000,2.1966987,45.76,-0.51320547,0.794263539214929,0.794263539214929,1.0
6000,2.1967158,44.095238095238095,-0.5470748,0.4976866055618633,0.4976866055618633,1.0
7000,2.1967194,45.5,-0.5157121,1.1479216136715629,1.1479216136715629,1.0
8000,2.196807,71.5,-0.6782573,0.4046962931752205,0.4046962931752205,1.0
9000,2.1966789,65.04545454545455,-0.5811554,1.038358552115304,1.038358552115304,1.0
10000,2.1967113,37.07692307692308,-0.609633,0.4389520241664006,0.4389520241664006,1.0
11000,2.190753,46.80952380952381,-0.43136194,1.9177264684722537,1.9177264684722537,1.0
12000,2.185379,57.588235294117645,-0.46545717,2.999128650216495,2.999128650216495,1.0
13000,2.1883998,57.0,-0.4216851,1.6558130019240909,1.6558130019240909,1.0
14000,2.187068,43.77777777777778,-0.44628716,1.8011865647215592,1.8011865647215592,1.0
15000,2.1869066,57.5,-0.44295725,1.8230465556445874,1.8230465556445874,1.0
16000,2.1869638,58.05882352941177,-0.4240774,4.026499979636249,4.026499979636249,1.0
17000,2.1872706,50.4375,-0.45266435,2.447686156805824,2.447686156805824,1.0
18000,2.186681,65.875,-0.43814865,3.2509830713272097,3.2509830713272097,1.0
19000,2.188623,59.0,-0.47825116,3.4231222139464483,3.4231222139464483,1.0
20000,2.187691,51.76470588235294,-0.41000554,2.0286603429738213,2.0286603429738213,1.0
21000,2.1781178,75.66666666666667,-0.34686053,5.814753289024035,5.814753289024035,1.0
22000,2.1626866,107.2,-0.07584178,8.492465817928315,8.492465817928315,1.0
23000,2.1667907,124.0,-0.093808696,12.378977669609917,12.378977669609917,1.0
24000,2.1631722,74.15384615384616,-0.3885125,5.255720321948711,5.255720321948711,1.0
25000,2.1620631,87.375,-0.11095587,7.66492660343647,7.66492660343647,1.0
26000,2.1602983,156.125,-0.07033715,16.92837493121624,16.92837493121624,1.0
27000,2.16175,96.4,-0.15758073,9.274049007892609,9.274049007892609,1.0
28000,2.1611433,63.94444444444444,-0.24012384,4.156765583488676,4.156765583488676,1.0
29000,2.1604154,97.4,-0.10560956,7.302076286739773,7.302076286739773,1.0
30000,2.1594968,74.5,-0.20909314,7.6230524097170145,7.6230524097170145,1.0
31000,2.159647,74.6,-0.12866107,7.006280153989792,7.006280153989792,1.0
