Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
1000,2.194721,63.9375,-0.27318344,-0.03648842,2.2898849725723265,2.2898849725723265,0.0,1.0
2000,2.1965642,38.833333333333336,-0.1493362,0.0012756189,0.8288553787602319,0.8288553787602319,0.0,1.0
3000,2.1965377,78.3125,-0.2567958,-0.0765537,-0.6789413710435231,-0.6789413710435231,0.0,1.0
4000,2.1961198,39.0,-0.31936854,0.05685295,-0.04504509843312777,-0.04504509843312777,0.0,1.0
5000,2.1962876,42.68181818181818,-0.14466599,0.07550716,0.8177239933739537,0.8177239933739537,0.0,1.0
6000,2.1962285,43.608695652173914,-0.25874898,0.05772823,0.7344744557684119,0.7344744557684119,0.0,1.0
7000,2.1963563,44.63636363636363,-0.11511113,0.08095745,0.5536723407832059,0.5536723407832059,0.0,1.0
8000,2.1965942,58.76470588235294,0.025998613,0.0012129123,1.5591006261460922,1.5591006261460922,0.0,1.0
9000,2.196275,46.142857142857146,-0.16724814,0.029220093,1.412246971612885,1.412246971612885,0.0,1.0
10000,2.196209,40.666666666666664,-0.20150393,0.04465487,1.3539998630682628,1.3539998630682628,0.0,1.0
11000,2.1929052,54.72222222222222,-0.014105938,0.0077288817,1.96138017045127,1.96138017045127,7.243039293421639,1.0
12000,2.1896133,56.2,-0.07697044,0.041104846,3.202600173652172,3.202600173652172,11.031146004796028,1.0
13000,2.190267,48.36363636363637,-0.13494591,0.04907487,1.0949222296476364,1.0949222296476364,9.288433425805785,1.0
14000,2.190566,55.10526315789474,-0.12810686,0.03927147,2.3111012677351632,2.3111012677351632,11.071783966488308,1.0
15000,2.1912735,62.8,-0.13479441,0.08795863,3.5141917690634727,3.5141917690634727,13.357699934393167,1.0
16000,2.1908615,60.23529411764706,0.05132423,0.077074565,3.3760837614536285,3.3760837614536285,12.751739518716931,1.0
17000,2.190605,42.13636363636363,-0.16280288,0.015038848,0.7459051298058551,0.7459051298058551,7.376723647117615,1.0
18000,2.1901913,63.125,-0.13457562,0.0060211094,3.600860619544983,3.600860619544983,12.741984629631043,1.0
19000,2.190236,49.55555555555556,-0.09218577,0.05753597,2.134227024881463,2.134227024881463,9.922621692481794,1.0
20000,2.1904306,46.869565217391305,-0.0006774531,0.014115608,0.674735960635272,0.674735960635272,9.075621095570652,1.0
21000,2.1799364,57.46153846153846,0.09340564,0.2617597,3.08734221969332,3.08734221969332,8.65067206961768,1.0
22000,2.1699533,123.125,0.18815239,0.5067907,14.632324133600507,14.632324133600507,11.386277291391577,1.0
23000,2.1661274,111.6,0.08491151,0.53011465,9.034645118496634,9.034645118496634,8.541366287253119,1.0
24000,2.1699119,96.11111111111111,0.1978816,0.48102108,9.147058010101318,9.147058010101318,8.402628252075779,1.0
25000,2.1698368,145.57142857142858,0.16189596,0.49561086,15.160315138953072,15.160315138953072,13.208639916431691,1.0
26000,2.1696222,81.3076923076923,0.011293949,0.503154,6.453194288107065,6.453194288107065,6.9308642997191505,1.0
27000,2.1676195,76.21428571428571,0.14357427,0.46603525,6.133260231751662,6.133260231751662,6.723352360037657,1.0
28000,2.1688812,92.75,0.100026056,0.44737214,6.022531118657854,6.022531118657854,7.1544210116068525,1.0
29000,2.1714482,76.875,0.00048520448,0.42131618,5.254668600857258,5.254668600857258,6.234614355489612,1.0
30000,2.1652832,69.53846153846153,0.04333973,0.4845273,4.6939420608373785,4.6939420608373785,5.49870937031049,1.0
31000,2.1633723,96.23076923076923,0.25155747,0.55998033,9.06712602906757,9.06712602906757,9.41907870107227,1.0
32000,2.1327648,97.0,0.4067362,0.782745,7.4440935750802355,7.4440935750802355,4.376920104026794,1.0
33000,2.1349268,150.2,0.3470007,0.74542636,17.5293749332428,17.5293749332428,8.248665602132679,1.0
34000,2.1377497,197.22222222222223,0.27047896,0.69900936,23.502202305528854,23.502202305528854,15.909959385792414,1.0
35000,2.1364098,144.66666666666666,0.37443218,0.7687783,13.944527218739191,13.944527218739191,4.926578698679805,1.0
36000,2.1366136,148.36363636363637,0.37570357,0.76995456,17.15669664469632,17.15669664469632,7.952969632365487,1.0
37000,2.1340463,234.33333333333334,0.46642268,0.7614802,28.429872512817383,28.429872512817383,13.222340106964111,1.0
38000,2.1238534,93.8,0.38418314,0.77264786,7.850371766090393,7.850371766090393,4.198824036121368,1.0
39000,2.1401951,271.6,0.55938834,0.81898475,36.7333758354187,36.7333758354187,13.126145160198211,1.0
40000,2.1349013,133.125,0.36571965,0.77862245,15.382153324782848,15.382153324782848,7.28037144895643,1.0
41000,2.1367676,227.8,0.5326617,0.81106806,26.70842981338501,26.70842981338501,11.32662523984909,1.0
42000,2.0911963,131.8,0.7512012,1.0126579,13.74077033996582,13.74077033996582,5.119307401031255,1.0
43000,2.0958567,246.25,0.8580739,1.0521437,31.73223638534546,31.73223638534546,8.58521544188261,1.0
44000,2.096349,414.6666666666667,0.76643854,0.9975286,56.78241225083669,56.78241225083669,16.0459002032876,1.0
45000,2.1046362,219.66666666666666,0.76094276,1.0275698,29.436526199181873,29.436526199181873,7.653895912071069,1.0
46000,2.0931387,142.25,0.69093484,1.0042237,18.5660320520401,18.5660320520401,5.326265058945864,1.0
47000,2.0985687,355.5,0.8474473,1.0335597,44.41196286678314,44.41196286678314,14.38147857785225,1.0
48000,2.0875473,400.0,0.80043036,1.0234332,56.64794913927714,56.64794913927714,12.393311580022177,1.0
49000,2.102394,337.6666666666667,0.8209982,1.0414625,47.09852480888367,47.09852480888367,10.380977272987366,1.0
50000,2.0833812,273.5,0.7165757,1.0145669,41.24997397661209,41.24997397661209,11.195370423793793,1.0
51000,2.093172,237.66666666666666,0.73498344,0.99623424,32.858744064966835,32.858744064966835,7.96628071864446,1.0
52000,2.0640748,224.66666666666666,0.9146899,1.1300012,31.197346687316895,31.197346687316895,5.089598569708566,1.0
53000,2.0603263,282.2,1.1010876,1.2026887,41.30733731985092,41.30733731985092,7.79801430106163,1.0
54000,2.0635579,378.0,0.9639365,1.1547488,58.46860142548879,58.46860142548879,8.735839546037218,1.0
55000,2.0580316,312.6666666666667,1.0267572,1.1710202,47.001442313194275,47.001442313194275,5.651686102151871,1.0
56000,2.0596051,None,1.2085971,1.2367532,None,None,None,1.0
57000,2.0650156,999.0,1.1404803,1.1977602,167.5357003211975,167.5357003211975,24.481914520263672,1.0
58000,2.0750272,999.0,1.1925611,1.2162133,163.2371368408203,163.2371368408203,23.02834191918373,1.0
59000,2.061738,152.5,1.0929072,1.1878221,23.160170435905457,23.160170435905457,4.526302248239517,1.0
60000,2.0483491,489.6666666666667,1.0224484,1.1947079,78.6445283095042,78.6445283095042,11.838013271490732,1.0
61000,2.0560226,507.5,1.011445,1.160388,81.37851643562317,81.37851643562317,11.941001197323203,1.0
62000,2.043055,813.0,1.3002441,1.2443907,134.97186756134033,134.97186756134033,15.088011890649796,1.0
63000,2.0323555,None,1.5855279,1.3124453,None,None,None,1.0
64000,2.0390182,701.0,1.6435413,1.3082345,172.40636825561523,172.40636825561523,16.943557545542717,1.0
65000,2.0411294,812.0,1.4805272,1.2825706,80.25355362892151,80.25355362892151,5.7250638753175735,1.0
66000,2.019126,582.0,1.5532062,1.2821279,None,None,None,1.0
67000,2.0193613,954.0,1.4298005,1.2492927,141.52238170305887,141.52238170305887,14.4158416390419,1.0
68000,2.021473,None,1.5395186,1.2648567,None,None,None,1.0
69000,2.0148754,726.0,1.4501255,1.2506444,127.7023493051529,127.7023493051529,8.858346682973206,1.0
70000,2.0155568,595.5,1.3926886,1.2395679,107.00883290171623,107.00883290171623,8.999379619708634,1.0
71000,2.014663,113.0,1.4994814,1.2858039,18.09500551223755,18.09500551223755,1.6765625476837158,1.0
72000,1.9920449,999.0,1.6296248,1.259598,174.15701031684875,174.15701031684875,14.21413853764534,1.0
73000,1.9781352,None,1.9794254,1.2532197,None,None,None,1.0
74000,1.982801,804.3333333333334,1.9397272,1.325812,152.10327061017355,152.10327061017355,9.918351070053177,1.0
75000,1.9842713,None,2.1404436,1.298158,None,None,None,1.0
76000,1.9822196,None,2.071209,1.2881212,None,None,None,1.0
77000,1.97128,999.0,2.1110647,1.2913309,196.45311387379965,196.45311387379965,8.786124301453432,1.0
78000,1.984349,276.0,2.0444822,1.2760108,53.322256088256836,53.322256088256836,3.511683687567711,1.0
79000,1.9659319,406.0,2.0745823,1.283869,72.67374229431152,72.67374229431152,3.5092228204011917,1.0
80000,1.9653295,999.0,2.0564525,1.2803786,192.55641078948975,192.55641078948975,8.906838983297348,1.0
81000,1.9929945,403.0,2.005733,1.2580271,72.83690702915192,72.83690702915192,4.4238826632499695,1.0
82000,1.9783249,999.0,2.0762935,1.271002,201.97637939453125,201.97637939453125,8.02476379275322,1.0
83000,1.9330528,999.0,2.7445161,1.2341006,190.08116054534912,190.08116054534912,9.519173249602318,1.0
84000,1.9326687,999.0,2.7210498,1.2174292,204.1484889984131,204.1484889984131,7.014387764036655,1.0
