Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
1000,2.0276005,71.46153846153847,2.6949658,-4.982763,1.9114891795011668,1.9114891795011668,0.0,1.0
2000,2.0363648,64.1875,2.6609063,-4.997859,1.3051359355449677,1.3051359355449677,0.0,1.0
3000,2.077545,72.92307692307692,1.6153138,-4.1190634,0.6103424063095679,0.6103424063095679,0.0,1.0
4000,2.0466058,87.0,2.089475,-4.692252,1.68449697711251,1.68449697711251,0.0,1.0
5000,2.0595899,63.1875,1.7192134,-4.122887,0.13049633335322142,0.13049633335322142,0.0,1.0
6000,2.0442324,76.66666666666667,2.2507658,-4.588767,1.8115231096744537,1.8115231096744537,0.0,1.0
7000,2.041687,63.588235294117645,2.2112594,-4.449819,0.872971071916468,0.872971071916468,0.0,1.0
8000,2.061167,80.14285714285714,2.1609557,-4.785259,1.3553930755172456,1.3553930755172456,0.0,1.0
9000,2.0289354,76.38461538461539,2.9172175,-5.1524973,1.5114351694400494,1.5114351694400494,0.0,1.0
10000,2.0500908,55.94117647058823,1.7966347,-4.24707,-0.09231694787740707,-0.09231694787740707,0.0,1.0
11000,2.0487106,53.8421052631579,2.225556,-4.448606,1.0512331992387771,1.0512331992387771,0.9097285851836204,1.0
12000,2.0377948,75.21428571428571,2.0556521,-4.573129,3.136505264502305,3.136505264502305,2.605811343743251,1.0
13000,2.0634124,63.2,1.9726423,-4.4190645,3.6365372637907663,3.6365372637907663,2.7118470827738443,1.0
14000,2.0494483,62.42857142857143,1.817657,-4.3382325,1.9361876179774602,1.9361876179774602,2.4119249522686004,1.0
15000,2.0731719,59.55555555555556,1.7042094,-4.06504,1.9816612075356876,1.9816612075356876,2.494176240528331,1.0
16000,2.0634043,80.66666666666667,1.7259963,-4.210001,3.3568619581369252,3.3568619581369252,3.584535609071071,1.0
17000,2.04152,73.91666666666667,2.388692,-4.817243,2.884874934951464,2.884874934951464,3.0260651434461274,1.0
18000,2.0486748,112.66666666666667,2.330027,-4.758214,6.588232980834113,6.588232980834113,4.24409323102898,1.0
19000,2.0380378,90.54545454545455,2.165327,-4.588655,4.724447244947607,4.724447244947607,2.413812362334945,1.0
20000,2.05763,83.5,2.6303546,-4.937563,3.6950410157442093,3.6950410157442093,2.4190848593910537,1.0
21000,2.0426784,76.15384615384616,2.4257157,-4.9764686,3.1375316106356106,3.1375316106356106,3.027456930050483,1.0
22000,2.0190177,74.8,2.1967766,-4.5585284,4.807928484219771,4.807928484219771,4.277114425714199,1.0
23000,1.9946921,74.6923076923077,2.333302,-4.300325,3.33775218469756,3.33775218469756,4.889918876013586,1.0
24000,2.020887,51.57142857142857,2.0861878,-4.2897644,1.893276003996531,1.893276003996531,2.8236827850341797,1.0
25000,2.0061197,114.4,2.3587186,-4.353534,7.644586675696903,7.644586675696903,6.562808967298931,1.0
26000,2.0185752,91.75,2.2305775,-4.6414337,8.45571588145362,8.45571588145362,5.650921860916747,1.0
27000,2.00054,134.22222222222223,2.039271,-4.121834,9.098206371068954,9.098206371068954,9.750264381989837,1.0
28000,2.0096128,76.9090909090909,2.4739323,-4.51878,4.611284703016281,4.611284703016281,4.38703686495622,1.0
29000,2.051479,91.72727272727273,1.9945295,-4.3942738,4.838959065350619,4.838959065350619,4.898123257539489,1.0
30000,2.02465,131.875,2.0292392,-4.4436774,9.327655643224716,9.327655643224716,7.199087519198656,1.0
31000,2.011584,124.22222222222223,1.8558754,-4.0779195,8.226229164335463,8.226229164335463,6.32166688144207,1.0
32000,1.9913844,83.41666666666667,2.3846126,-4.243954,7.305905297398567,7.305905297398567,4.58861210073034,1.0
33000,1.944349,72.0,3.2688618,-4.157358,5.106618563334147,5.106618563334147,4.206939498583476,1.0
34000,1.9654127,503.0,3.014325,-3.742323,61.719797134399414,61.719797134399414,23.279972553253174,1.0
35000,2.0001237,160.11111111111111,2.185471,-3.938579,10.31180565804243,10.31180565804243,10.140991972293705,1.0
36000,1.9789033,223.125,2.8617654,-4.56678,13.687541402048534,13.687541402048534,6.856680815418561,1.0
37000,1.9894098,142.6,2.4952593,-3.942387,12.468433171510696,12.468433171510696,7.206498667597771,1.0
38000,2.017861,172.14285714285714,1.9816264,-3.8642778,17.231919452548027,17.231919452548027,10.520049467682838,1.0
