Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.1932104,39.57692307692308,0.24440947,0.7894397068023682,0.7894397068023682,1.0
2000,2.196489,48.05882352941177,0.23207444,2.024314933353,2.024314933353,1.0
3000,2.1965725,61.388888888888886,0.2324109,2.5114962704041424,2.5114962704041424,1.0
4000,2.1964388,35.96,0.26310703,-0.011547582149505615,-0.011547582149505615,1.0
5000,2.1964188,36.51851851851852,0.24115296,0.12531047207968576,0.12531047207968576,1.0
6000,2.196469,40.0,0.21671401,0.4306283676624298,0.4306283676624298,1.0
7000,2.1964874,47.35,0.26153076,1.4612209371158056,1.4612209371158056,1.0
8000,2.1964345,39.68,0.2618658,0.20346020460128783,0.20346020460128783,1.0
9000,2.1964402,34.18518518518518,0.26227126,0.04350904954804315,0.04350904954804315,1.0
10000,2.196474,41.68,0.24725094,1.4463401039441426,1.4463401039441426,1.0
11000,2.189142,41.54545454545455,0.14761434,1.1313399102376855,1.1313399102376855,1.0
12000,2.18753,61.529411764705884,0.2217093,3.262618288397789,3.262618288397789,1.0
13000,2.1885633,62.53333333333333,0.27509752,3.6039233431220055,3.6039233431220055,1.0
14000,2.1866295,56.4,0.25311932,3.1852992602757046,3.1852992602757046,1.0
15000,2.1869807,96.81818181818181,0.24396144,6.530043862082741,6.530043862082741,1.0
16000,2.1905763,65.28571428571429,0.24665506,4.605142064392567,4.605142064392567,1.0
17000,2.187349,150.54545454545453,0.26515797,5.283478057384491,5.283478057384491,1.0
18000,2.1878288,46.0,0.17742625,2.0628577681148754,2.0628577681148754,1.0
19000,2.1869693,79.3076923076923,0.24436638,6.7002985660846415,6.7002985660846415,1.0
20000,2.1868255,59.526315789473685,0.19961111,3.8371972473044145,3.8371972473044145,1.0
21000,2.1777384,77.2,0.36550757,3.999803102016449,3.999803102016449,1.0
22000,2.1676593,70.07692307692308,0.3502222,7.078766575881413,7.078766575881413,1.0
23000,2.1651294,139.0,0.3515314,13.502592457665337,13.502592457665337,1.0
24000,2.162246,103.88888888888889,0.39596266,10.713014841079712,10.713014841079712,1.0
25000,2.1613894,74.38461538461539,0.32206267,5.591483487532689,5.591483487532689,1.0
26000,2.1642532,106.77777777777777,0.28895003,9.408866855833265,9.408866855833265,1.0
27000,2.1638184,59.388888888888886,0.27450925,4.424804555742364,4.424804555742364,1.0
28000,2.1632795,108.11111111111111,0.42654854,10.388152569532394,10.388152569532394,1.0
29000,2.1595051,69.93333333333334,0.33398107,4.715132629871368,4.715132629871368,1.0
30000,2.1643462,82.42857142857143,0.37314245,7.049098193645477,7.049098193645477,1.0
31000,2.15667,95.14285714285714,0.40587354,9.203302695200993,9.203302695200993,1.0
32000,2.1282897,185.75,0.58229005,18.858174359798433,18.858174359798433,1.0
33000,2.124593,156.14285714285714,0.5456109,18.06863534450531,18.06863534450531,1.0
34000,2.132352,127.75,0.49345675,14.742100283503532,14.742100283503532,1.0
35000,2.124869,89.375,0.5777747,10.653868906199932,10.653868906199932,1.0
36000,2.1255615,217.6,0.63733906,27.91693558692932,27.91693558692932,1.0
37000,2.127919,98.0,0.56196636,11.292621767520904,11.292621767520904,1.0
38000,2.126464,113.63636363636364,0.5366816,11.542237484455109,11.542237484455109,1.0
39000,2.1342714,141.0,0.59046435,15.704478661219278,15.704478661219278,1.0
40000,2.1332493,152.57142857142858,0.6500334,20.420005764280045,20.420005764280045,1.0
41000,2.1280773,240.0,0.605246,30.164589941501617,30.164589941501617,1.0
42000,2.103334,294.6666666666667,0.9067053,40.17215315500895,40.17215315500895,1.0
43000,2.0953698,131.0,0.9006258,16.980192184448242,16.980192184448242,1.0
44000,2.0968087,313.0,0.79286647,47.67471383810043,47.67471383810043,1.0
45000,2.0883384,178.0,0.7567563,29.09685754776001,29.09685754776001,1.0
46000,2.0893767,303.0,0.8823114,44.16720241308212,44.16720241308212,1.0
47000,2.0935087,235.75,0.89589906,15.133026043574015,15.133026043574015,1.0
48000,2.092907,56.0,0.9032824,45.15951764583588,45.15951764583588,1.0
49000,2.0946965,570.5,0.87452585,85.07667577266693,85.07667577266693,1.0
50000,2.08342,607.5,0.9113667,99.65971267223358,99.65971267223358,1.0
51000,2.093867,452.5,0.8603696,71.68467593193054,71.68467593193054,1.0
52000,2.0698972,539.0,1.0777836,86.22291249036789,86.22291249036789,1.0
53000,2.0449526,272.3333333333333,1.1050282,39.87407108147939,39.87407108147939,1.0
54000,2.0431385,530.0,1.1676073,87.26606973012288,87.26606973012288,1.0
55000,2.0600057,None,1.2693139,None,None,1.0
56000,2.0371046,512.3333333333334,1.1468776,91.47947812080383,91.47947812080383,1.0
57000,2.0420296,624.0,1.1886759,108.01607751846313,108.01607751846313,1.0
58000,2.0334215,555.6666666666666,1.0301138,103.1222351193428,103.1222351193428,1.0
59000,2.0458643,236.0,1.1974648,63.54289937019348,63.54289937019348,1.0
60000,2.0346234,424.0,1.2098634,73.4153743982315,73.4153743982315,1.0
61000,2.0284376,350.0,1.1218576,58.61840081214905,58.61840081214905,1.0
62000,2.0225468,497.6666666666667,1.2762889,86.117298523585,86.117298523585,1.0
63000,1.9993712,337.0,1.4923754,60.81667596101761,60.81667596101761,1.0
64000,1.9880933,549.5,1.4400395,106.8182684481144,106.8182684481144,1.0
65000,2.0074368,None,1.5555427,None,None,1.0
66000,2.0052476,900.5,1.5608621,179.20453572273254,179.20453572273254,1.0
67000,2.0014315,660.5,1.3321393,134.1114218235016,134.1114218235016,1.0
68000,1.9955586,349.0,1.4720457,64.60386045773824,64.60386045773824,1.0
69000,1.9958158,529.0,1.5744543,99.29786849021912,99.29786849021912,1.0
70000,2.0233228,None,1.6291518,None,None,1.0
71000,1.9875778,969.0,1.496963,177.9872828722,177.9872828722,1.0
72000,1.9771717,334.25,1.6094893,62.201586186885834,62.201586186885834,1.0
73000,1.9488795,282.0,1.9871142,51.46719789505005,51.46719789505005,1.0
74000,1.9570088,999.0,2.010527,206.86250019073486,206.86250019073486,1.0
75000,1.9437118,607.0,1.9765549,125.05713319778442,125.05713319778442,1.0
76000,1.9462266,None,2.009645,None,None,1.0
77000,1.942918,391.1666666666667,1.7727983,78.17209754387538,78.17209754387538,1.0
78000,1.9388574,359.0,1.8716345,49.343743562698364,49.343743562698364,1.0
79000,1.9574965,None,1.9389894,91.47563362121582,91.47563362121582,1.0
80000,1.9496157,999.0,2.0017142,221.67819499969482,221.67819499969482,1.0
81000,1.9442048,582.5,1.9528639,124.70141851902008,124.70141851902008,1.0
82000,1.9362621,999.0,2.0000682,209.48400783538818,209.48400783538818,1.0
83000,1.917481,999.0,2.4868422,214.53117752075195,214.53117752075195,1.0
84000,1.9126605,999.0,2.5318184,224.80704069137573,224.80704069137573,1.0
85000,1.8866673,999.0,2.5480382,225.96642971038818,225.96642971038818,1.0
86000,1.9118614,999.0,2.4757724,222.93932056427002,222.93932056427002,1.0
87000,1.9060729,999.0,2.5101871,216.61071968078613,216.61071968078613,1.0
88000,1.9140627,999.0,2.5398698,231.78209590911865,231.78209590911865,1.0
89000,1.9201359,999.0,2.5169072,223.5895037651062,223.5895037651062,1.0
90000,1.910611,999.0,2.495136,231.74214935302734,231.74214935302734,1.0
91000,1.9117601,999.0,2.460543,229.19910860061646,229.19910860061646,1.0
92000,1.8944862,529.0,2.3787053,117.25161528587341,117.25161528587341,1.0
93000,1.8657113,639.0,2.8587377,143.6279239654541,143.6279239654541,1.0
94000,1.8566407,None,3.2211757,None,None,1.0
95000,1.8671079,999.0,3.1948228,236.24743556976318,236.24743556976318,1.0
96000,1.8621019,999.0,3.259284,235.27067136764526,235.27067136764526,1.0
97000,1.876786,None,3.179245,None,None,1.0
98000,1.8522861,999.0,3.269473,245.02195167541504,245.02195167541504,1.0
99000,1.882095,999.0,3.2765648,237.9284324645996,237.9284324645996,1.0
100000,1.8596158,None,3.1647139,None,None,1.0
101000,1.8687845,999.0,3.230317,238.96360397338867,238.96360397338867,1.0
102000,1.8706098,999.0,3.127643,243.96459531784058,243.96459531784058,1.0
103000,1.8438385,None,3.511769,None,None,1.0
104000,1.8136429,949.0,4.1932898,223.48876953125,223.48876953125,1.0
105000,1.8088633,880.5,4.096785,212.99653244018555,212.99653244018555,1.0
106000,1.8377482,None,3.9975019,None,None,1.0
107000,1.8164537,999.0,4.1552124,250.22508239746094,250.22508239746094,1.0
108000,1.8183386,999.0,4.174428,245.40180253982544,245.40180253982544,1.0
109000,1.811808,None,4.001318,None,None,1.0
110000,1.8045554,999.0,4.1189547,250.1042604446411,250.1042604446411,1.0
111000,1.8309458,999.0,4.070318,246.88225841522217,246.88225841522217,1.0
112000,1.7996166,409.0,4.0505304,97.54009509086609,97.54009509086609,1.0
113000,1.8264341,999.0,4.2563953,253.868182182312,253.868182182312,1.0
114000,1.7836933,None,4.8155327,255.51576614379883,255.51576614379883,1.0
115000,1.7767688,999.0,4.908321,251.10972785949707,251.10972785949707,1.0
116000,1.7912449,999.0,4.8934064,254.40002346038818,254.40002346038818,1.0
117000,1.7626077,None,4.884945,258.9510746002197,258.9510746002197,1.0
118000,1.7661258,807.0,4.923086,210.63069105148315,210.63069105148315,1.0
119000,1.7936783,999.0,4.925373,None,None,1.0
120000,1.7730546,None,4.9900093,265.28952980041504,265.28952980041504,1.0
121000,1.7725635,999.0,4.8291483,267.6663498878479,267.6663498878479,1.0
122000,1.7720464,89.0,4.767004,19.374507427215576,19.374507427215576,1.0
123000,1.7864621,642.5,4.6726093,166.56202602386475,166.56202602386475,1.0
124000,1.7855465,999.0,4.7053967,192.77844071388245,192.77844071388245,1.0
125000,1.7521702,None,5.64459,255.78407669067383,255.78407669067383,1.0
126000,1.743565,999.0,5.7054944,262.9078092575073,262.9078092575073,1.0
127000,1.7536129,999.0,5.5038023,262.99241638183594,262.99241638183594,1.0
128000,1.7673807,None,5.6742,264.1776924133301,264.1776924133301,1.0
129000,1.7342861,999.0,5.5350513,266.0821771621704,266.0821771621704,1.0
130000,1.7521867,999.0,5.5769463,269.351975440979,269.351975440979,1.0
131000,1.7564424,None,5.502498,265.1427230834961,265.1427230834961,1.0
132000,1.7663546,999.0,5.6971836,259.02673721313477,259.02673721313477,1.0
133000,1.7321043,999.0,5.595743,267.18882942199707,267.18882942199707,1.0
134000,1.739032,None,6.1451983,268.9898052215576,268.9898052215576,1.0
135000,1.7190158,999.0,6.5101953,267.36028003692627,267.36028003692627,1.0
136000,1.7160373,999.0,6.585532,271.51597118377686,271.51597118377686,1.0
137000,1.7180423,263.0,6.3971987,168.8127007484436,168.8127007484436,1.0
138000,1.7260016,999.0,6.3150873,266.05491733551025,266.05491733551025,1.0
139000,1.7197344,999.0,6.4003887,265.0624809265137,265.0624809265137,1.0
140000,1.6996983,999.0,6.5739603,269.21561336517334,269.21561336517334,1.0
141000,1.7241102,999.0,6.3112297,268.58743381500244,268.58743381500244,1.0
142000,1.7331189,999.0,6.340418,270.98000049591064,270.98000049591064,1.0
143000,1.7296193,999.0,6.459298,269.9821786880493,269.9821786880493,1.0
144000,1.707398,999.0,6.7434835,267.8258647918701,267.8258647918701,1.0
145000,1.6897643,804.0,7.1636877,217.86614632606506,217.86614632606506,1.0
146000,1.687975,None,7.3677583,None,None,1.0
147000,1.7007939,999.0,7.2815456,269.6715040206909,269.6715040206909,1.0
148000,1.7082653,999.0,7.0613947,274.49403858184814,274.49403858184814,1.0
149000,1.7019197,None,7.394933,None,None,1.0
150000,1.7069478,999.0,7.234294,272.8717384338379,272.8717384338379,1.0
151000,1.6950893,999.0,7.0195913,272.60295009613037,272.60295009613037,1.0
152000,1.708261,None,7.1505375,None,None,1.0
153000,1.7182093,999.0,6.938719,267.1487846374512,267.1487846374512,1.0
154000,1.6978147,999.0,7.0084987,269.18911504745483,269.18911504745483,1.0
155000,1.6267854,None,8.035149,None,None,1.0
156000,1.6615571,999.0,7.8935184,276.31573009490967,276.31573009490967,1.0
157000,1.6657394,999.0,7.8068914,276.9865198135376,276.9865198135376,1.0
158000,1.650059,None,7.7678933,None,None,1.0
159000,1.6807859,999.0,7.807782,275.6611661911011,275.6611661911011,1.0
160000,1.6759202,673.3333333333334,7.5427694,182.76899202664694,182.76899202664694,1.0
